"Date","Price","Open","High","Low","Vol.","Change %"
"27/02/2023","32,889.09","32,906.16","33,189.28","32,814.18","246.23M","0.22%"
"28/02/2023","32,656.70","32,873.47","32,873.47","32,636.43","308.69M","-0.71%"
"01/03/2023","32,661.84","32,656.37","32,746.15","32,500.71","296.34M","0.02%"
"02/03/2023","33,003.57","32,780.97","33,083.45","32,665.85","319.32M","1.05%"
"03/03/2023","33,390.97","33,076.33","33,405.82","33,008.41","302.95M","1.17%"
"06/03/2023","33,431.44","33,425.32","33,572.22","33,383.47","329.82M","0.12%"
"07/03/2023","32,856.46","33,428.31","33,453.25","32,838.21","301.59M","-1.72%"
"08/03/2023","32,798.40","32,872.08","32,903.44","32,612.70","242.76M","-0.18%"
"09/03/2023","32,254.86","32,876.83","32,990.46","32,190.60","318.64M","-1.66%"
"10/03/2023","31,909.64","32,185.14","32,422.10","31,783.41","400.24M","-1.07%"
"13/03/2023","31,819.14","31,819.93","32,240.35","31,624.87","431.15M","-0.28%"
"14/03/2023","32,155.40","32,055.29","32,306.59","31,805.40","395.73M","1.06%"
"15/03/2023","31,874.57","31,759.87","31,906.47","31,429.82","428.11M","-0.87%"
"16/03/2023","32,246.55","31,827.65","32,281.61","31,571.46","444.39M","1.17%"
"17/03/2023","31,861.98","32,217.32","32,217.32","31,728.70","722.09M","-1.19%"
"20/03/2023","32,244.58","31,872.33","32,280.07","31,872.33","360.21M","1.20%"
"21/03/2023","32,560.60","32,420.71","32,593.68","32,346.12","367.47M","0.98%"
"22/03/2023","32,030.11","32,570.19","32,761.89","32,020.46","333.03M","-1.63%"
"23/03/2023","32,105.25","32,101.49","32,511.49","31,864.74","335.43M","0.23%"
"24/03/2023","32,237.53","32,038.22","32,257.24","31,805.18","317.08M","0.41%"
"27/03/2023","32,432.08","32,276.72","32,564.00","32,276.72","291.56M","0.60%"
"28/03/2023","32,394.25","32,434.85","32,551.01","32,295.50","248.56M","-0.12%"
"29/03/2023","32,717.60","32,566.54","32,728.04","32,539.94","317.45M","1.00%"
"30/03/2023","32,859.03","32,807.43","32,905.80","32,682.87","289.10M","0.43%"
"31/03/2023","33,274.15","32,901.96","33,291.00","32,901.96","353.74M","1.26%"
"03/04/2023","33,601.15","33,245.78","33,632.90","33,245.78","316.61M","0.98%"
"04/04/2023","33,402.38","33,594.79","33,634.72","33,275.62","287.79M","-0.59%"
"05/04/2023","33,482.72","33,394.60","33,543.84","33,376.27","288.10M","0.24%"
"06/04/2023","33,485.29","33,420.96","33,525.96","33,325.37","258.68M","0.01%"
"10/04/2023","33,586.52","33,425.25","33,590.24","33,343.43","232.92M","0.30%"
"11/04/2023","33,684.79","33,586.75","33,781.29","33,586.75","241.44M","0.29%"
"12/04/2023","33,646.50","33,764.21","33,895.43","33,593.32","260.31M","-0.11%"
"13/04/2023","34,029.69","33,668.97","34,054.99","33,605.17","277.24M","1.14%"
"14/04/2023","33,886.47","33,981.71","34,082.94","33,730.85","276.72M","-0.42%"
"17/04/2023","33,987.18","33,930.46","33,991.23","33,796.91","235.83M","0.30%"
"18/04/2023","33,976.63","33,965.16","34,018.62","33,791.89","256.48M","-0.03%"
"19/04/2023","33,897.01","33,889.83","33,957.98","33,814.65","254.11M","-0.23%"
"20/04/2023","33,786.62","33,740.60","33,875.39","33,677.74","309.68M","-0.33%"
"21/04/2023","33,808.96","33,793.60","33,858.83","33,688.57","294.96M","0.07%"
"24/04/2023","33,875.40","33,805.04","33,891.15","33,726.09","260.22M","0.20%"
"25/04/2023","33,530.83","33,828.34","33,875.49","33,525.39","302.75M","-1.02%"
"26/04/2023","33,301.87","33,596.34","33,645.83","33,235.85","325.37M","-0.68%"
"27/04/2023","33,826.16","33,381.66","33,859.75","33,374.65","347.46M","1.57%"
"28/04/2023","34,098.16","33,797.43","34,104.56","33,728.37","358.27M","0.80%"
"01/05/2023","34,051.70","34,116.81","34,257.83","34,030.14","248.60M","-0.14%"
"02/05/2023","33,684.53","34,017.62","34,017.75","33,436.66","275.73M","-1.08%"
"03/05/2023","33,414.24","33,726.64","33,811.84","33,396.05","292.78M","-0.80%"
"04/05/2023","33,127.74","33,347.78","33,354.86","32,937.50","317.32M","-0.86%"
"05/05/2023","33,674.38","33,248.55","33,748.43","33,248.55","318.57M","1.65%"
"08/05/2023","33,618.69","33,715.15","33,747.49","33,509.23","225.68M","-0.17%"
"09/05/2023","33,561.81","33,589.85","33,656.40","33,509.72","235.14M","-0.17%"
"10/05/2023","33,531.33","33,707.20","33,772.09","33,239.45","278.73M","-0.09%"
"11/05/2023","33,309.51","33,383.89","33,389.88","33,127.70","306.79M","-0.66%"
"12/05/2023","33,300.62","33,370.58","33,406.40","33,110.61","228.72M","-0.03%"
"15/05/2023","33,348.60","33,321.21","33,400.30","33,161.93","224.52M","0.14%"
"16/05/2023","33,012.14","33,275.37","33,290.85","33,006.19","247.67M","-1.01%"
"17/05/2023","33,420.77","33,092.48","33,472.38","33,050.41","310.71M","1.24%"
"18/05/2023","33,535.91","33,374.56","33,579.91","33,212.09","333.07M","0.34%"
"19/05/2023","33,426.63","33,582.95","33,652.90","33,336.66","315.21M","-0.33%"
"22/05/2023","33,286.58","33,408.54","33,512.30","33,207.85","271.48M","-0.42%"
"23/05/2023","33,055.51","33,190.60","33,310.17","33,013.29","294.26M","-0.69%"
"24/05/2023","32,799.92","33,021.76","33,031.75","32,752.44","253.32M","-0.77%"
"25/05/2023","32,764.65","32,854.26","32,870.43","32,586.56","371.26M","-0.11%"
"26/05/2023","33,093.34","32,795.50","33,162.06","32,795.50","333.80M","1.00%"
"30/05/2023","33,042.78","33,103.65","33,132.70","32,893.97","324.22M","-0.15%"
"31/05/2023","32,908.27","32,948.71","32,984.83","32,739.73","695.13M","-0.41%"
"01/06/2023","33,061.57","32,929.85","33,167.75","32,704.51","349.46M","0.47%"
"02/06/2023","33,762.76","33,187.58","33,805.00","33,187.58","389.26M","2.12%"
"05/06/2023","33,562.86","33,771.13","33,804.22","33,552.79","371.10M","-0.59%"
"06/06/2023","33,573.28","33,547.67","33,631.25","33,399.69","295.70M","0.03%"
"07/06/2023","33,665.02","33,562.47","33,708.78","33,546.11","351.54M","0.27%"
"08/06/2023","33,833.61","33,656.98","33,873.81","33,630.04","272.72M","0.50%"
"09/06/2023","33,876.78","33,852.44","33,975.32","33,787.16","263.23M","0.13%"
"12/06/2023","34,066.33","33,906.80","34,077.84","33,878.46","309.50M","0.56%"
"13/06/2023","34,212.12","34,111.08","34,310.28","34,107.98","310.68M","0.43%"
"14/06/2023","33,979.33","34,044.70","34,151.42","33,783.55","358.49M","-0.68%"
"15/06/2023","34,408.06","33,945.98","34,488.98","33,945.98","362.53M","1.26%"
"16/06/2023","34,299.12","34,464.02","34,588.68","34,285.69","609.15M","-0.32%"
"20/06/2023","34,053.87","34,206.66","34,206.66","33,915.93","344.62M","-0.72%"
"21/06/2023","33,951.52","33,990.56","34,097.93","33,876.17","326.24M","-0.30%"
"22/06/2023","33,946.71","33,900.47","34,003.56","33,835.39","278.55M","-0.01%"
"23/06/2023","33,727.43","33,835.66","33,835.66","33,646.49","382.71M","-0.65%"
"26/06/2023","33,714.71","33,730.79","33,819.49","33,610.32","267.56M","-0.04%"
"27/06/2023","33,926.74","33,739.03","33,975.65","33,730.39","296.26M","0.63%"
"28/06/2023","33,852.66","33,881.38","33,903.76","33,755.92","268.05M","-0.22%"
"29/06/2023","34,122.42","33,854.57","34,147.68","33,828.63","279.94M","0.80%"
"30/06/2023","34,407.60","34,269.92","34,467.35","34,269.92","353.29M","0.84%"
"03/07/2023","34,418.47","34,369.78","34,465.60","34,286.54","157.60M","0.03%"
"05/07/2023","34,288.64","34,344.72","34,376.11","34,226.98","278.25M","-0.38%"
"06/07/2023","33,922.26","34,171.39","34,171.39","33,771.47","296.24M","-1.07%"
"07/07/2023","33,734.88","33,837.07","34,036.38","33,716.75","274.73M","-0.55%"
"10/07/2023","33,944.40","33,705.68","33,958.36","33,705.68","301.54M","0.62%"
"11/07/2023","34,261.42","34,056.94","34,288.87","33,993.01","281.65M","0.93%"
"12/07/2023","34,347.43","34,395.28","34,586.94","34,308.78","334.08M","0.25%"
"13/07/2023","34,395.14","34,412.31","34,482.26","34,365.33","276.38M","0.14%"
"14/07/2023","34,509.03","34,425.33","34,592.26","34,425.33","301.91M","0.33%"
"17/07/2023","34,585.35","34,499.74","34,665.15","34,418.72","359.78M","0.22%"
"18/07/2023","34,951.93","34,597.08","34,986.36","34,530.61","388.39M","1.06%"
"19/07/2023","35,061.21","34,991.21","35,234.05","34,991.21","369.62M","0.31%"
"20/07/2023","35,225.18","35,091.98","35,372.77","35,091.98","342.32M","0.47%"
"21/07/2023","35,227.69","35,274.32","35,340.66","35,186.05","476.66M","0.01%"
"24/07/2023","35,411.24","35,230.79","35,463.97","35,230.79","286.17M","0.52%"
"25/07/2023","35,438.07","35,421.49","35,527.57","35,365.26","309.33M","0.08%"
"26/07/2023","35,520.12","35,345.99","35,633.61","35,306.27","347.33M","0.23%"
"27/07/2023","35,282.72","35,558.79","35,645.35","35,216.58","352.23M","-0.67%"
"28/07/2023","35,459.29","35,443.49","35,565.51","35,355.15","369.00M","0.50%"
"31/07/2023","35,559.53","35,465.97","35,566.95","35,430.22","333.14M","0.28%"
"01/08/2023","35,630.68","35,585.99","35,679.13","35,526.61","261.00M","0.20%"
"02/08/2023","35,282.52","35,551.92","35,551.92","35,226.26","301.32M","-0.98%"
"03/08/2023","35,215.89","35,194.56","35,348.20","35,122.32","264.87M","-0.19%"
"04/08/2023","35,065.62","35,230.13","35,506.88","35,033.76","342.03M","-0.43%"
"07/08/2023","35,473.13","35,125.60","35,497.38","35,125.60","301.69M","1.16%"
"08/08/2023","35,314.49","35,345.40","35,346.64","35,007.41","308.55M","-0.45%"
"09/08/2023","35,123.36","35,324.28","35,370.89","35,058.73","315.45M","-0.54%"
"10/08/2023","35,176.15","35,231.54","35,578.58","35,107.60","340.73M","0.15%"
"11/08/2023","35,281.40","35,111.36","35,354.60","35,059.99","281.95M","0.30%"
"14/08/2023","35,307.63","35,273.89","35,335.45","35,169.97","303.58M","0.07%"
"15/08/2023","34,946.39","35,219.37","35,219.37","34,908.50","325.69M","-1.02%"
"16/08/2023","34,765.74","34,914.96","35,133.56","34,757.37","336.59M","-0.52%"
"17/08/2023","34,474.83","34,829.61","34,888.48","34,440.73","400.80M","-0.84%"
"18/08/2023","34,500.66","34,368.36","34,587.07","34,263.19","325.87M","0.07%"
"21/08/2023","34,463.69","34,531.28","34,570.96","34,248.46","412.30M","-0.11%"
"22/08/2023","34,288.83","34,494.17","34,514.04","34,256.84","281.32M","-0.51%"
"23/08/2023","34,472.98","34,338.59","34,534.72","34,321.00","371.47M","0.54%"
"24/08/2023","34,099.42","34,439.83","34,694.68","34,093.65","349.00M","-1.08%"
"25/08/2023","34,346.90","34,217.06","34,441.91","34,029.22","257.44M","0.73%"
"28/08/2023","34,559.98","34,441.64","34,652.91","34,441.64","227.20M","0.62%"
"29/08/2023","34,852.67","34,531.12","34,864.42","34,531.12","264.10M","0.85%"
"30/08/2023","34,890.24","34,847.80","35,025.57","34,811.74","238.90M","0.11%"
"31/08/2023","34,721.91","34,909.09","35,070.21","34,719.77","349.85M","-0.48%"
"01/09/2023","34,837.71","34,876.24","34,979.18","34,720.70","289.07M","0.33%"
"05/09/2023","34,641.97","34,843.22","34,871.26","34,635.63","286.34M","-0.56%"
"06/09/2023","34,443.19","34,611.68","34,611.68","34,291.56","308.91M","-0.57%"
