"Date","Price","Open","High","Low","Vol.","Change %"
"20/04/2023","163.58","162.43","163.82","160.96","9.50M","0.65%"
"21/04/2023","162.69","164.44","164.97","161.97","7.01M","-0.54%"
"24/04/2023","163.68","162.69","163.80","161.87","5.28M","0.61%"
"25/04/2023","165.18","164.31","165.35","164.15","6.26M","0.92%"
"26/04/2023","162.62","164.09","164.39","162.24","5.52M","-1.55%"
"27/04/2023","163.00","162.90","163.41","162.13","5.74M","0.23%"
"28/04/2023","163.70","162.81","163.76","162.56","6.02M","0.43%"
"01/05/2023","163.60","163.60","164.30","162.24","4.89M","-0.06%"
"02/05/2023","165.03","164.34","165.48","163.55","7.54M","0.87%"
"03/05/2023","162.87","165.55","166.18","162.51","5.94M","-1.31%"
"04/05/2023","162.13","162.68","162.90","161.25","5.13M","-0.45%"
"05/05/2023","162.68","162.84","163.13","161.69","5.19M","0.34%"
"08/05/2023","162.31","161.99","162.57","161.34","4.99M","-0.23%"
"09/05/2023","161.05","161.75","162.13","160.79","5.52M","-0.78%"
"10/05/2023","161.65","161.20","161.97","160.06","6.76M","0.37%"
"11/05/2023","160.99","161.83","162.19","159.39","5.87M","-0.41%"
"12/05/2023","160.78","161.36","161.56","160.01","3.90M","-0.13%"
"15/05/2023","159.55","160.80","161.03","158.94","5.10M","-0.77%"
"16/05/2023","159.34","159.06","160.25","158.53","5.60M","-0.13%"
"17/05/2023","158.99","159.79","160.05","157.77","6.84M","-0.22%"
"18/05/2023","158.48","158.66","158.93","157.56","5.17M","-0.32%"
"19/05/2023","158.91","158.59","159.93","158.14","6.53M","0.27%"
"22/05/2023","156.87","158.00","159.14","156.78","5.68M","-1.28%"
"23/05/2023","156.81","157.10","158.27","156.37","5.79M","-0.04%"
"24/05/2023","156.66","157.08","157.14","155.92","5.02M","-0.10%"
"25/05/2023","154.41","156.05","156.29","153.72","6.89M","-1.44%"
"26/05/2023","154.35","154.69","155.27","154.20","6.85M","-0.04%"
"30/05/2023","154.37","153.97","155.38","153.32","5.59M","0.01%"
"31/05/2023","155.06","154.70","155.69","153.85","11.32M","0.45%"
